epoch,train_loss,val_loss,val_mae,val_rmse
1.0,27.050005776541575,9.030128415425619,2.398069929650101,3.005017185621782
2.0,5.511764805657523,3.19597806930542,1.271476353851726,1.7877298571276343
3.0,2.5116183928080966,2.0104445219039917,0.9962334393633997,1.417901446166587
4.0,2.0323284251349314,1.8148311456044515,0.9431039859037751,1.3471566918396518
5.0,1.7585981232779366,2.2360248645146688,1.078132356820043,1.4953343622954778
6.0,1.6928178310394286,1.1674789190292358,0.7073508697942912,1.0804993839196733
7.0,1.4767363275800431,1.4657507022221883,0.8389687969130554,1.2106819142378509
8.0,1.2145698973110743,0.9036561727523804,0.60053314390957,0.9506083251434315
9.0,1.0414733631270272,0.8104990959167481,0.5551818975805985,0.9002772355105002
10.0,0.9994899647576468,0.778532878557841,0.559651229318888,0.8823451008704337
11.0,0.8267106107303075,0.6740335901578267,0.5034695095486111,0.8209954791027234
12.0,0.8216177787099566,0.6692079305648804,0.49971256321780255,0.818051296123994
13.0,0.7324234928403582,0.7257012526194254,0.5416954993320631,0.8518810079808209
14.0,0.7312433906963893,0.5512227892875672,0.44822236427364154,0.7424438016641277
15.0,0.677248158625194,0.562647541364034,0.4507329160203819,0.7500983537702403
16.0,0.616976807798658,0.4873779873053233,0.40799903680608046,0.6981246229356027
17.0,0.5326655089855195,0.4826168239116669,0.4136260609567901,0.6947062865556549
18.0,0.4886038771697453,0.3930650313695272,0.345253739757863,0.6269489822414923
19.0,0.443898286989757,0.3608107030391693,0.33438118194326344,0.6006752037912366
20.0,0.4111225255898067,0.3356391211350759,0.3158935075283972,0.5793436969799105
21.0,0.9024936641965594,0.8087552070617676,0.6062416179820693,0.8993081820849588
22.0,0.6097639892782484,0.3414782742659251,0.3207672265231324,0.5843614217047662
23.0,0.3849656811782292,0.3144207954406738,0.30364989106657325,0.5607323759468541
24.0,0.3395755333559854,0.2922358681758245,0.29739116663254805,0.5405884449245567
25.0,0.33446609037263053,0.33355480829874673,0.3405796739509847,0.577542040793075
26.0,0.33203000596591403,0.29101087848345436,0.29662443753543083,0.5394542421364182
27.0,0.295978245139122,0.24546026388804118,0.2439918646856891,0.4954394643109954
28.0,0.30038825912134987,0.2840989698966344,0.2967801999513154,0.5330093522345571
29.0,0.2871006854942867,0.22102299133936565,0.24292536772617998,0.4701308252945982
30.0,0.28614913650921414,0.43766714334487916,0.43088516487806544,0.6615641710102037
31.0,0.4635839475052697,0.3255730301141739,0.3536520808892616,0.570590074689515
32.0,0.30154585412570406,0.22263865570227306,0.23030754993451857,0.47184601047825486
33.0,0.2509281418153218,0.20778975188732146,0.22391633610185974,0.4558396153908317
34.0,0.26238014612879074,0.2995541860659917,0.2730953596837076,0.5473154398042281
35.0,0.2753357848950795,0.2793005992968877,0.31833677963855295,0.528488980603683
36.0,0.23064307740756443,0.21248393158117931,0.2331319311578798,0.46095979553395156
37.0,0.23016069148268017,0.2040622035662333,0.24274454127233455,0.45173244750392855
38.0,0.21068628430366515,0.17342402040958405,0.20257189958834615,0.41644210011545063
39.0,0.20966832637786864,0.2165178527434667,0.2304678601282334,0.4653147913966
40.0,0.20433414365564073,0.2362452377875646,0.2653375785957709,0.4860506545371269
41.0,0.20004932369504655,0.2579041530688604,0.2640163742966322,0.5078426435824125
42.0,0.2299338958093098,0.2101231296857198,0.2534273821170058,0.4583918967240092
43.0,0.22493615618773868,0.19287294348080952,0.2147200424464732,0.43917302078086684
44.0,0.24161484794957297,0.294557977716128,0.33924779016544887,0.5427319586677485
45.0,0.2130752887044634,0.21492804686228434,0.26916714174336787,0.4636033270436358
46.0,0.21240190735885076,0.15739167978366217,0.18569287650679484,0.39672620520581503
47.0,0.17917113602161408,0.2087096204360326,0.24577605347694634,0.45684748329313174
48.0,0.1713403467621122,0.23670329451560973,0.2904316353759868,0.48652162759392675
49.0,0.18506387046405248,0.21620486676692963,0.2515973751817471,0.46497835253751785
50.0,0.1649945548602513,0.15217814445495606,0.19119357884936383,0.39010017128168095
