method,N,J,h,h_over_J,E0,e0,Mz,Mx
product,4,1.0,0.2,0.2,-3.0597074741509642,-0.7649268685377411,-0.9876564795971292,0.1488134326280821
product,4,1.0,0.8,0.8,-3.915744929363618,-0.9789362323409045,-0.8233493951776968,0.5507802574950733
product,4,1.0,1.4,1.4,-5.649332053816519,-1.4123330134541296,-0.4516398085977576,0.8863955383789419
product,4,1.0,2.0,2.0,-7.999999999999999,-1.9999999999999998,2.0122792321330962e-16,1.0
product,6,1.0,0.2,0.2,-5.079620958846473,-0.8466034931410787,-0.9901028998733881,0.13240695284993953
product,6,1.0,0.8,0.8,-6.234656523759757,-1.039109420626626,-0.8548364393614246,0.4996617970252994
product,6,1.0,1.4,1.4,-8.617960086684686,-1.4363266811141144,-0.5609494714773363,0.8158931525350036
product,6,1.0,2.0,2.0,-12.0,-2.0,1.7752003570829325e-16,1.0
product,10,1.0,0.2,0.2,-9.119536749377188,-0.9119536749377188,-0.992031678158663,0.11960592502182706
product,10,1.0,0.8,0.8,-10.87203636007919,-1.087203636007919,-0.8783989654515603,0.46113273006688127
product,10,1.0,1.4,1.4,-14.570080586692455,-1.4570080586692455,-0.6309399707030584,0.7648808996446019
product,10,1.0,2.0,2.0,-20.0,-2.0,7.229460086133343e-17,1.0
