profile,h_over_J,N,r,value
zz,0.6,20,0,1.0000000000000004
zz,0.6,20,1,0.8865165160677897
zz,0.6,20,2,0.8756205465861174
zz,0.6,20,3,0.8725200682465245
zz,0.6,20,4,0.8706595333487316
zz,0.6,20,5,0.8689366039218988
zz,0.6,20,6,0.8670736402524172
zz,0.6,20,7,0.8649559826179284
zz,0.6,20,8,0.86249560568158
zz,0.6,20,9,0.8595914193155836
zz,0.6,20,10,0.8561080201476591
xx,0.6,20,0,1.0000000000000004
xx,0.6,20,1,0.17253669006274838
xx,0.6,20,2,0.11837149292503793
xx,0.6,20,3,0.11362020687219104
xx,0.6,20,4,0.11330395780267677
xx,0.6,20,5,0.11390333617041443
xx,0.6,20,6,0.11482781973979084
xx,0.6,20,7,0.11596296127647052
xx,0.6,20,8,0.1173084810804671
xx,0.6,20,9,0.11890564523883664
xx,0.6,20,10,0.12082490304458764
connected_zz,0.6,20,0,0.14159850829936968
connected_zz,0.6,20,1,0.01725911119692423
connected_zz,0.6,20,2,0.004106176838923281
connected_zz,0.6,20,3,0.0011848178102945976
connected_zz,0.6,20,4,0.00037443073568513285
connected_zz,0.6,20,5,0.00012460020546160391
connected_zz,0.6,20,6,4.291908709210971e-5
connected_zz,0.6,20,7,1.5195751791934161e-5
connected_zz,0.6,20,8,5.535893981796954e-6
connected_zz,0.6,20,9,2.099469771648705e-6
connected_zz,0.6,20,10,8.571675592650152e-7
zz,1.0,20,0,1.000000000000001
zz,1.0,20,1,0.5899442547050472
zz,1.0,20,2,0.4697394783817338
zz,1.0,20,3,0.40097522778807626
zz,1.0,20,4,0.35285936569088794
zz,1.0,20,5,0.3156808738444596
zz,1.0,20,6,0.28518560415489974
zz,1.0,20,7,0.2591335827099162
zz,1.0,20,8,0.23620104389323857
zz,1.0,20,9,0.2155359399084043
zz,1.0,20,10,0.19655175290434554
xx,1.0,20,0,1.000000000000001
xx,1.0,20,1,0.6248690419077408
xx,1.0,20,2,0.49751748766102605
xx,1.0,20,3,0.47914709376765285
xx,1.0,20,4,0.47358871305255107
xx,1.0,20,5,0.4719356959878175
xx,1.0,20,6,0.4720992742499658
xx,1.0,20,7,0.47339232573181317
xx,1.0,20,8,0.47556839656911204
xx,1.0,20,9,0.4785672284095986
xx,1.0,20,10,0.48243626876426593
connected_zz,1.0,20,0,0.9999999631680605
connected_zz,1.0,20,1,0.5899442167216024
connected_zz,1.0,20,2,0.46973943980140714
connected_zz,1.0,20,3,0.40097518902999313
connected_zz,1.0,20,4,0.3528593270841327
connected_zz,1.0,20,5,0.31568083573633066
connected_zz,1.0,20,6,0.28518556684160085
connected_zz,1.0,20,7,0.2591335463975302
connected_zz,1.0,20,8,0.2362010087548593
connected_zz,1.0,20,9,0.21553590596586455
connected_zz,1.0,20,10,0.196551720294496
